RTO4_ID,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat
13894,36.88029949,31.25759656,33.76249548,25.47605203,28.04639518,32.11395356,24.96828442,26.66114535,20.30257118,31.60136733,36.17187609
13895,1.730999004,1.081368315,2.4373756,1.302027371,0.899604923,2.14903113,0.970470292,1.734875369,1.345948098,0,0.438555319
13896,0.771958674,0.72638941,1.017698964,1.116478605,0.904286116,0.788510333,0.592559329,1.15916721,1.154361833,0,0.211526017
13898,7.682599262,10.84156265,12.01290567,7.250321166,8.780052544,14.53178909,15.23037479,14.29833131,14.36089367,10.07078642,9.37776361
13899,0.587986556,1.083934058,1.220783421,1.302354907,1.09591011,1.174787337,1.182154512,0.775497947,1.148919892,0.208996201,0.429460406
13900,2.123642654,3.359711796,3.051435761,3.71451229,4.555683948,2.34592418,3.766783232,2.506372333,3.067745305,3.220257542,5.44119947
13901,0,0.195187917,0,0,0,0,0,0,0,0,0
13902,1.375230357,0.166666667,0.615297362,0,0,0,0,0,0,0,0
13903,0.768587476,1.036218478,0.203084457,0.558245186,0.180258207,0.99066606,0,2.696163854,0.764463579,0,0
13905,1.35371986,2.557859594,1.637364171,2.959329564,4.693649913,2.736072683,1.749252824,1.358397111,1.526936741,0,0
13907,0,0,0.203084457,0,0,0,0,0,0,1.282652232,2.37734172
13908,0,0,0,0.373103606,0.191623994,0,0,0,0,0,0
13909,0,0,0,0,0,0,0,0.19251022,0,0,0.224375669
13910,0.201691347,0.166666667,0,0,0,0,0,0,0,0,0
13911,0,0,0,0,0,0,0,0,0.189206673,0,0
13914,0,0,0,0,0,0,0.205723382,0,0,0,0
13915,0,0,0.409593067,1.487077532,0.723041023,2.742216272,0,1.547691539,0,0,0
13917,16.64513528,13.95800757,16.27815674,14.53064036,10.56693169,1.565008542,1.371341861,0,0,0,0
13918,0,0.169232409,0,0,0,0,0.189187349,0,0,0,0
13920,0.201691347,0.905530083,0.40459751,0.937406674,1.276168316,1.176734502,0.598826549,0.966212442,1.148402485,1.279819464,1.547473874
13921,0.764489602,0.188312238,1.831889541,0.556566648,0.731838153,1.173768181,0.97643113,0.579683372,0.385178248,0.212277485,0
13922,3.072432827,0.702999645,3.462600232,0.747558215,0.533968441,1.53963162,0.188436758,1.545486279,0,0.220910356,0
13923,1.549605906,3.728412408,1.630809374,2.234239129,2.354769124,1.952686783,2.142355991,2.904764248,2.29711785,1.071908491,0.660205831
13924,0,0,0,0,0,0,0,0,0.379285331,0.630494145,0
13925,2.718343467,2.496891513,3.25462211,2.412200209,2.352919573,3.128493276,2.950156924,2.90022305,2.669508111,1.694031801,1.527482913
13926,0.190197488,0,0,0,0,0.199906468,0,0,0,0.632920548,0.220620931
13927,0.576492697,0.731987738,1.220783421,0.935648485,0.738505569,0.787109097,0.986719469,0.968862249,1.148919892,1.070374747,1.083257866
13930,1.52348051,1.08047532,1.016037833,0.74116103,0.359955953,1.370276377,0.789821462,1.540656984,2.108633111,0.220910356,0.211140241
13931,5.180455608,6.930514602,4.47487971,7.600942503,7.295226368,4.096707458,5.312735654,6.186270471,8.047881187,4.073133411,3.281528405
13933,6.363360981,7.200694012,5.900730756,2.590354581,3.309440593,5.861713617,6.480254798,7.725018365,7.063565008,3.230493622,6.737898343
13935,1.700615299,2.154501114,2.032499596,1.855633561,1.841243831,2.915890511,3.147882792,2.126095987,2.108303045,0.854055161,0.442271443
13937,0,0,0.203508386,0,0,0,0,0,0,0,0
13938,7.260130564,8.852327679,6.710483333,8.184378374,8.40859204,7.256610041,7.45355141,7.721514475,7.083201514,5.139872423,3.939966011
13939,3.665381265,3.5724325,4.0751637,4.636546266,4.388141014,4.110495614,5.123528778,3.290481316,3.643312396,2.568667702,2.632476651
13940,6.889783681,3.04402575,7.920680956,3.711515007,3.668270896,4.863156381,3.761418284,4.059662048,3.067870844,5.76155768,3.453458276
13941,0,0,0,0,0,0,0,0,0,0,0.211140241
13942,2.89403249,1.796841966,3.262135613,1.678567704,1.29759835,1.945092087,1.165924861,0.968390926,1.33078052,1.274922482,1.313689039
13943,0.973091364,1.794276224,1.424291807,3.537617501,4.013042533,1.576165359,1.754176215,0.965802907,1.730199884,3.205548397,1.284273612
13944,0,0,0,0,0,0,0,0.19251022,0,0,0
13945,0,0.185279653,0.407830045,0.555691915,0.711395006,0,0.198705571,0,0.189206673,0,0
13946,13.97355612,19.49903488,16.88361143,21.96531575,21.59132229,17.18770987,22.30926708,19.8707127,25.65252704,15.62124591,15.87422088
13947,4.008558524,1.45150147,3.661113062,0.374861795,0,1.95935347,1.172923146,0.386502295,0,3.016826723,1.963770375
13948,24.14948172,22.20254013,26.43816794,19.5250399,20.7250893,21.72313035,19.88647621,17.5688244,15.91454993,18.57113093,16.12513694
13949,0.201691347,2.523698219,0.206941496,0.565853362,1.45331465,0.197909432,1.943344037,0,0.959112193,0,0
13950,0,0,0,0,0.19289111,0.199906468,0,0,0,0,0
13952,0,0.166666667,0,0,0.537662748,0,0,0,0,0,0
13953,0,2.893364531,0,0.183790577,0.550295651,0,3.555694902,0,2.484829474,0,1.515404814
13956,63.46957588,72.27390075,60.6013543,64.93778729,59.93776594,61.26239788,58.46075089,71.47438123,65.13166737,47.29927335,42.77278183
13957,5.042720588,6.111513969,5.082785031,6.141372931,4.746428033,5.865411208,5.706218778,6.756040778,7.065614532,5.340235753,4.1483868
13960,4.224881408,1.794276224,4.071086515,1.306247412,1.46779231,2.742812072,1.37059127,1.738023274,1.148919892,2.769934153,2.37730881
13961,3.258860893,1.957059107,4.672768035,3.694592015,3.103899401,2.147964876,2.952847233,1.545486279,1.15049393,1.270962335,7.400538392
13962,0.762362106,1.083934058,1.220359492,0.932688027,0.735673926,0.590600901,0.592846185,0.773292688,0.574985947,1.070374747,1.085597246
13963,4.017778714,6.341996461,4.683383653,5.052314903,5.130117054,5.27571826,4.55716153,3.67985266,3.648365163,2.987257014,3.262276087
13964,0,0.169232409,0,0,0,0,0,0,0.189807699,0,0
13966,11.78534959,8.315642359,11.57701861,7.643110773,6.414641533,10.16712092,7.661214511,8.697678701,7.474669176,11.96846924,11.1026188
13967,2.286401273,0.357544647,4.065277686,0,0.173732258,1.962915591,0,2.709352105,0,4.917428323,8.262436684
13969,0,0.35194632,0.203084457,0.564630603,1.09591011,0.974880869,1.182154512,0.775497947,0.960289734,0.632920548,0.224375669
13970,0.393132537,0.559722744,0.203084457,0.556566648,0.729286741,0.190314737,1.586277082,0.578856064,0.770632084,0,0
13971,3.266728189,2.813710759,2.450428395,0.366378886,0.896773281,0.569852352,0.198705571,0,0.769634561,0.854055161,0.643287189
13975,0,0,0,0,0.19289111,0,0,0.190304961,0,0.440511225,0.224375669
13976,7.367634521,4.824820472,7.729399928,4.639555315,4.773258432,5.870538415,4.316884427,3.867036491,4.020112478,4.727994072,5.014520445
13977,0,0,0,0,0.180258207,0,0,0,0,0,0
13978,0.382292267,0.700433902,0,0,0,0,0,0,0,0.642184042,1.30183606
13979,12.11902395,10.04312301,10.58212803,10.21668249,10.04658304,12.69640803,12.00083059,13.32063268,14.53424326,9.416199906,10.22755089
13980,8.837462162,7.336855193,9.960467493,5.953319486,5.662221403,7.659347817,5.296905487,6.745407672,6.684634254,13.04694638,12.85291914
13981,7.085319429,5.752454293,5.881457368,5.209665544,4.550846747,5.863325799,5.687356562,5.795809273,4.406472896,5.140989339,5.888553059
13982,0,0,0,0.189313029,0,0,0,0,0,0,0.211140241
13985,4.618572603,3.634835486,5.087981163,4.634476875,3.654073466,4.295139989,4.984780202,4.639911405,3.636170878,4.270539869,4.567717006
13987,0,0,0,0,0,0,0.188436758,0,0,0,0
13988,0,0,0,0,0.177426564,0,0.188436758,0,0.189081134,0,0
13989,0.190197488,0,0,0,0,0,0,0,0.189477632,0,0
13990,13.0456447,13.89471395,14.46640646,12.27619798,11.34815383,11.95709929,11.59247467,12.17517323,12.60236564,11.95460248,12.62315396
13992,0,0,0,0,0,0,0,0,0,0,0.211140241
13993,1.135616462,2.494710126,1.224538569,1.116478605,1.089664391,2.145039832,1.973419412,0,0,12.83160141,15.44328889
13994,0,0,0,0,0,0,0,0,0,0,0.211140241
13995,3.081347666,3.832671633,2.840111404,7.980915406,7.491531554,2.730131447,3.302013632,4.054518884,3.80793599,1.715840073,0.429074629
13996,0.967822875,2.44672469,1.434390562,5.003209862,4.885536893,1.583760055,0.772534838,1.356663175,1.721939933,2.127488076,2.386403724
13997,0.195465977,0,0.407931937,0,0,0,0.188436758,0,0,0.211646862,0
13999,2.127974049,0.166666667,1.626618133,0,0,0.195962267,0,0,0,0,0
14001,20.70052662,22.50440448,19.95852077,21.94623154,20.94922777,20.94234423,21.5846588,14.88151857,15.52262142,28.38806359,30.07399222
14002,3.471790734,8.818944799,3.061333941,8.938622639,9.885763915,13.30614253,12.63982429,12.36644664,12.44701267,12.82318303,16.51320119
14004,0,0.166666667,0,0.376996112,0,0,0,0,0,0,0
14005,0,0,0,0,0,0,0,0.19251022,0.573537448,0.839714604,0.660205831
14009,9.009098257,6.401322703,11.78467469,9.137452612,9.14683192,8.226256679,6.483081118,5.79851263,4.974422983,7.26151622,8.494983245
14010,4.820519316,2.705134779,4.680049227,2.246115939,1.46779231,3.524411883,3.11878712,2.892082333,2.480823475,2.155041812,2.393230781
14011,1.726740696,1.234201138,1.017698964,0,0.542782816,0,0,0,0,0,0
14012,0.201691347,0.166666667,0,0.187227304,0.173732258,0,0,0,0,0,0
