Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
aminomalonic acid,251657,209968.3667,219107.5667,133775.1333,177339.4,80393.16667,199837.9333,98499.06667,235967.6667,247253.8,292575.2333,,
arabitol,456486.6667,389120.8333,980797.5,3946938.167,2843275,3450115.5,165620.1333,4318459.2,1490916.067,588123.5667,586880.3333,,
benzoic acid,47429.56667,175844.2333,147346.4667,190801.1667,169201.3333,100715.9333,177260.6333,116245.1333,156094.9333,35095.26667,87138.73333,,
carbonate ion,9698365.067,9529883.4,10224734.27,5017108.833,6205102.967,5326144.567,9076466.6,7446701.167,12925764.73,10641935.37,7927055,,
citric acid,11701848.03,15729564.83,8512734.233,5476487,5884918.167,9709946.167,11955685.83,11338462.1,13371422.27,33466332.7,34086261.2,,
D-erythritol,3045133.7,2901027.867,2604816.133,4055618.9,6701852.233,4024178.9,7652981.167,9151977.433,7831519.667,9970909.767,17776254.83,,
D-gluconic acid,92436.83333,1204003.967,84011.66667,636001.9333,583572.2,739835.2333,352249.6,650251.7333,177456.1667,925365.4667,3817822.133,,
D-glucose,54139214.93,16133316.57,38370749.1,15370524.87,19684456.77,33871003.7,23359649.33,44296567.5,29051867.53,13413607.87,12315288.5,,
D-glucose-6-phosphate,227826.5333,189042.1667,109502,240898.9667,162319.9333,801249.5333,190286.8333,329378.1667,197102.8,76760.26667,201775.9667,,
D-malic acid,4258115.667,2202265.733,5934524.2,2250421,2752784.8,6083034.7,2410234.033,6319294.633,2675431.033,3534302.333,11188959.3,,
D-maltitol,57873813.2,75161954.73,43984880.97,36639061.73,60400956.17,55910992.1,75482082.37,55331773.53,72678062.03,29389201.3,38302165.57,,
D-mannitol,54951689.3,41568721.9,46721122.87,10722316.6,19690767.83,72478343.1,93071959.03,79808296.03,84095425.97,170368569.9,199338536.8,,
D-mannose,27203095.7,938958.2333,24585443.17,6558858.467,11320262.13,1963019.2,2926652.133,2475145.7,2213133.1,10079354.67,4865706.267,,
D-ribose,1731636.4,889966.6333,1743937.467,14022316.63,4771843.967,2201977.2,819940.2,2116828.5,642550.0333,1260316.833,2139945.233,,
D-ribose-5-phosphate,873534.7667,578654.1333,685277.9333,674219.8,886059.4,1053635.667,772759.5333,1166384.367,1366234.767,398013.4,485779.2333,,
D-sorbitol,107573.5667,424290.7333,90362.86667,828126.8333,956035.2667,528347.1667,409458.4,221942.5333,609764.3667,95649.7,102282.0333,,
D-threitol,1079650.667,2238312.6,1039632.4,1402789.2,1509433.9,1177465.333,1562298.167,1409917.833,1776919.133,570085.9667,1564240.833,,
D-xylose,152103.2667,104837.5,36308634.97,49143924.4,29339743,735012.8,257187.3667,128818.2,238485.3,187958.4,322664.2333,,
D-xylulose,0,0,0,412688.0333,760049.5,539478.1333,0,0,0,0,0,,
dehydroalanine,585841.3667,949843.5667,388848.1333,738300.1667,562144.9667,675860.2667,750607.3667,791358.3,1004221.733,582824.8333,1222139.4,,
ethanol amine*,3577066.633,5333063.867,2805682.467,10828206.03,3086093.367,12055530.8,3785193.767,8077988.133,3310958.067,5896875.5,8229098,,
fructose,9707671.533,5046033.667,8156729.967,1574376.567,5131489.733,8011807.333,12619999.83,17214656.1,9115467.267,20309916.1,21720147.9,,
fumaric acid,4725771.4,1749874.733,8248009.067,1016549.033,1732080.367,7002974.767,1852211.533,7231313.5,2404220.867,4467932.2,13724533.97,,
galactinol,13514333,9871708.167,11520722.17,61346069.17,46052325.53,33968199.57,16522450.3,22214568.83,16726730.33,1190637,5365597.6,,
galactonic acid,122920.0667,190892.1667,167991.9667,242025.5333,222919.9667,193093.2333,265064.8667,207933.4667,199168.4667,182797.7667,1332321.867,,
glyceric acid,228169.8,273579.7,252001.2667,584941.9,436136.9667,296451.7,163392.7333,365794.4667,129254.3,347370.7667,455553.7,,
glycerol,28273849.27,15034930.9,31577487.3,20062983.3,18410927.4,19231599.07,17617878.73,18978159.8,16181300.87,20901662.7,22451959.1,,
glycerol 3-phosphate,36450598.27,49333437.07,33390246.83,57023449.07,56850217.27,39386197.87,49718419.13,50344583,55708729.57,29945438.97,36351385.87,,
glycine,46789523.7,40776653.47,41041904.57,26829190.97,41037659.7,25020093.83,39141963.8,23697143.57,32041207.3,34387038.73,51410322.67,,
